Country Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],,
Afghanistan,..,..,..,..,..,,
Albania,27.26739115,28.97789918,31.56979831,31.57195441,31.30426989,,
Algeria,23.17177801,20.87248521,22.63223229,25.86115082,22.71440421,,
American Samoa,63.59583952,63.93442623,59.1503268,68.23161189,61.66924266,,
Andorra,..,..,..,..,..,,
Angola,29.75459795,28.12448545,29.004102,40.83628983,40.79075505,,
Antigua and Barbuda,76.03620877,72.61045999,67.74232745,64.57206292,71.39790741,,
Argentina,10.70565205,12.52709517,11.32028336,14.43668575,17.92487838,,
Armenia,29.72539121,33.74427986,38.21604566,39.39289403,41.35080136,,
Aruba,72.8474736,71.81649504,72.55456188,72.25264888,73.23471643,,
Australia,20.068071,19.27225801,21.23118349,21.87340412,24.15153911,,
Austria,53.08906056,52.40639365,54.05115314,55.46221912,55.75720636,,
Azerbaijan,37.79477749,46.42764939,48.54786473,54.09229386,49.0506275,,
"Bahamas, The",36.35857413,33.21475985,32.38503285,35.92890561,35.53646228,,
Bahrain,83.10720991,74.20082753,75.77968142,79.25252192,76.48596076,,
Bangladesh,17.33667379,13.92120448,12.81974689,12.67478794,13.094756,,
Barbados,40.05119001,36.53550648,35.75309376,35.52480663,36.48213363,,
Belarus,58.01023245,62.50934712,66.78991565,70.45454545,65.09440964,,
Belgium,77.80528215,79.42961547,83.18241025,83.07962947,82.39719928,,
Belize,51.16489482,46.91166704,49.36570429,51.07991361,51.25181047,,
Benin,24.72045121,27.60678807,27.20559478,27.27423062,29.63052719,,
Bermuda,49.97083946,49.33005658,48.53814925,51.47915638,51.7434244,,
Bhutan,34.4356494,29.61697448,30.08318938,30.81770601,33.93906381,,
Bolivia,30.86829603,24.48800554,24.90414437,25.98879506,24.96726228,,
Bosnia and Herzegovina,35.11487575,35.90870954,40.32441116,41.98456356,40.04007111,,
Botswana,53.09089734,54.61135476,42.92004249,44.22814392,37.08781767,,
Brazil,12.90019142,12.46667904,12.51896787,14.6349995,14.12291919,,
British Virgin Islands,..,..,..,..,..,,
Brunei Darussalam,52.21059737,49.57690627,49.5732417,51.93227638,57.94604054,,
Bulgaria,63.8000874,63.87048055,66.99459564,65.69585291,63.93391746,,
Burkina Faso,26.10764554,25.9159648,26.45238564,28.07890614,27.61611212,,
Burundi,6.417273565,6.38452219,6.026574329,5.685654314,5.172039999,,
Cabo Verde,41.13545234,41.47294872,42.06880358,45.86599346,46.75111439,,
Cambodia,61.71842376,61.28152493,60.68195781,61.59572751,61.09129652,,
Cameroon,20.98914963,18.94997876,18.35109858,18.73625347,19.85009075,,
Canada,31.84996096,31.50257241,31.45441015,32.32540373,32.35269582,,
Cayman Islands,..,..,74.02181724,71.58784905,69.47102566,,
Central African Republic,17.06766062,14.82187966,17.25977376,15.94003,15.75538,,
Chad,30.00176089,26.29503676,33.87296248,36.19068245,36.74225344,,
Channel Islands,..,..,..,..,..,,
Chile,29.19107949,27.92315811,28.33137683,28.52904474,27.8432682,,
China,21.35407988,19.58438005,19.69227699,19.11210354,18.40999232,,
Colombia,15.65021151,14.71713928,15.14528975,15.89971968,15.86803865,,
Comoros,10.13619831,10.67289558,11.90131645,12.90902299,12.77346063,,
"Congo, Dem. Rep.",27.7255678,23.9564422,35.25052218,32.55352826,25.8676651,,
"Congo, Rep.",42.728167,44.99946349,58.06454759,71.02956895,73.79228775,,
Costa Rica,29.99565786,31.2600963,32.76268315,33.73851078,34.32532156,,
Cote d'Ivoire,27.35324379,24.94186245,25.4987866,22.69419992,23.02345573,,
Croatia,45.67535453,46.86398889,49.11079147,49.39294496,50.59453845,,
Cuba,17.14734945,14.98303601,14.55121785,14.52273863,12.21332715,,
Curacao,67.51491784,61.96723742,58.64674216,..,..,,
Cyprus,70.01730313,70.48405223,73.83648406,74.96730233,76.49313137,,
Czechia,80.55877811,79.10707663,79.0271395,76.94357596,73.87978033,,
Denmark,55.4181744,53.42598052,55.07737678,56.55980449,58.64718222,,
Djibouti,145.4213075,103.7640251,150.0983615,156.619875,166.7177464,,
Dominica,47.32429674,44.63112699,40.87587612,29.19325981,..,,
Dominican Republic,23.7615823,23.90937952,23.68214534,23.55143131,23.06928204,,
Ecuador,21.25822138,19.50479127,20.83281789,22.60468399,23.0483673,,
"Egypt, Arab Rep.",13.18384549,10.34546394,15.01408682,17.98465561,16.64403145,,
El Salvador,29.48617302,28.4585905,29.02976438,28.93437378,29.95590961,,
Equatorial Guinea,56.65847382,51.41282994,58.86310521,59.61453472,51.13074955,,
Eritrea,..,..,..,..,..,,
Estonia,77.43549844,77.00753774,75.8098541,74.32389785,73.88468641,,
Ethiopia,9.363313597,7.812080503,7.629368622,8.372675866,7.939976609,,
Faroe Islands,53.21649246,54.53633397,56.36479138,52.81800664,55.61266993,,
Fiji,48.83675558,46.64724139,46.01556504,47.74879577,48.13127781,,
Finland,35.40695887,34.81045247,37.54954684,38.46878721,39.8806794,,
France,30.59262238,30.24753718,30.94863319,31.71366721,31.59205541,,
French Polynesia,..,..,19.55695843,20.97916875,20.12749491,,
Gabon,46.0320085,44.03534729,50.22675397,54.29907649,51.43107323,,
"Gambia, The",19.59633316,15.91151182,16.78945539,21.7264295,18.84139797,,
Georgia,40.86223663,40.79975444,46.52761423,50.55852769,54.81849314,,
Germany,46.92073836,46.07326285,47.16304068,47.30885914,46.66961299,,
Ghana,33.83170499,31.19323949,33.87687443,33.45489588,37.44959942,,
Gibraltar,..,..,..,..,..,,
Greece,32.12716124,31.28745626,35.03409423,38.9929061,40.10993262,,
Greenland,37.57984513,40.76504771,40.69223375,44.4545789,41.0427005,,
Grenada,..,..,..,..,..,,
Guam,18.07208139,18.96288765,18.97555297,19.23712021,22.03895696,,
Guatemala,19.82990769,18.75308929,18.4950463,18.16932653,17.61197615,,
Guinea,21.49687039,29.37151131,44.66029845,40.20709553,35.04204934,,
Guinea-Bissau,27.54304392,26.5081143,27.77397262,25.27609497,20.28794966,,
Guyana,..,..,..,..,..,,
Haiti,11.76774698,11.60197094,11.00347034,10.78082259,10.55767343,,
Honduras,45.16675746,42.71410478,43.09385484,41.45481656,39.91851267,,
"Hong Kong SAR, China",195.8976016,187.0051289,188.9023996,188.339507,177.6513152,,
Hungary,87.52645093,86.40473829,85.91956406,83.75531586,81.52974061,,
Iceland,51.65172145,47.48403629,45.73224001,46.04676239,43.67285266,,
India,19.81318916,19.15823491,18.79176484,19.9278286,18.6642649,,
Indonesia,21.16017926,19.08899385,20.17730444,21.0027465,18.5915278,,
"Iran, Islamic Rep.",18.72083451,21.161708,22.73568826,30.21775173,23.48386714,,
Iraq,34.51414644,28.10852368,33.91606341,40.80264203,38.0518682,,
Ireland,122.09624,121.6955686,121.0168834,122.7847151,127.8796462,,
Isle of Man,..,..,..,..,..,,
Israel,31.17124903,29.95495989,29.24225587,29.8939141,29.29847865,,
Italy,29.71598237,29.32789075,30.73373332,31.3535542,31.60241973,,
Jamaica,29.92166548,31.81343755,34.65706257,38.56384829,38.03608075,,
Japan,17.43675984,16.05796924,17.5914391,18.3149456,17.46352643,,
Jordan,36.54443702,34.39521007,34.70653187,35.12775864,36.67104733,,
Kazakhstan,28.51670801,31.84388864,32.39775294,37.62521843,36.4389871,,
Kenya,15.1287339,13.2497448,12.73665994,12.54197533,11.42799666,,
Kiribati,15.70053786,19.22006035,15.6704065,10.75547529,18.55765873,,
"Korea, Dem. People's Rep.",..,..,..,..,..,,
"Korea, Rep.",42.98956153,40.13265091,40.93420694,41.71329084,39.27586107,,
Kosovo,22.45139286,23.8274048,27.32884488,29.05346472,29.31260746,,
Kuwait,53.76624808,47.63172463,51.19631559,57.49549492,53.29343278,,
Kyrgyz Republic,35.18960049,35.82540888,34.25284136,31.60173001,35.2341542,,
Lao PDR,33.95225731,33.20942746,..,..,..,,
Latvia,60.27538277,59.60708239,61.58943936,61.45894175,59.81407914,,
Lebanon,23.13966773,21.72615589,21.92693319,20.75452116,20.69775896,,
Lesotho,41.61025394,44.32691421,46.02726305,48.80944981,44.9168728,,
Liberia,..,..,..,..,..,,
Libya,22.22737412,14.57788755,27.19725571,39.61350442,42.83511729,,
Liechtenstein,..,..,..,..,..,,
Lithuania,68.77764073,67.58738306,73.59516374,75.20540489,77.31170261,,
Luxembourg,191.835449,191.0986337,192.7475035,197.5013375,204.3208177,,
"Macao SAR, China",78.50673324,76.64148702,80.44308972,82.52991936,82.52261352,,
North Macedonia,48.73799991,50.66384216,55.14571934,60.37513732,62.40805679,,
Madagascar,28.39064613,29.09256944,30.90263088,31.53602365,28.42440124,,
Malawi,..,..,..,..,..,,
Malaysia,69.4486909,66.77544545,70.01174251,68.55497142,65.27776684,,
Maldives,78.35618236,71.97908201,72.30745119,70.11318519,69.4265505,,
Mali,24.04370851,23.44291297,22.21409394,24.5223744,25.70529113,,
Malta,154.6180239,157.801368,154.6655165,162.7963508,166.788242,,
Marshall Islands,44.41218532,36.69039837,39.29658131,39.84702524,37.1875758,,
Mauritania,30.19514476,33.92517064,34.50566335,36.5862504,41.57981956,,
Mauritius,51.49785241,49.17407623,48.15516611,46.09626695,44.0717583,,
Mexico,34.52488584,37.04217108,37.65156846,39.25755173,38.82128516,,
"Micronesia, Fed. Sts.",27.06500271,27.65420513,29.96096183,35.47473045,31.48058252,,
Moldova,31.80692179,32.86649893,32.5328466,30.69636994,31.19108496,,
Monaco,..,..,..,..,..,,
Mongolia,44.18405024,50.87219405,59.16667927,58.16478228,59.21723318,,
Montenegro,42.11807213,40.60065571,41.0551905,42.87500027,43.84664144,,
Morocco,29.99585389,30.73459514,32.60646099,33.82843737,34.09305747,,
Mozambique,31.07817138,33.54531717,38.57905103,44.87000288,32.26836151,,
Myanmar,20.46392121,22.97516723,25.94272972,28.35971336,30.38975072,,
Namibia,35.37084841,35.00946742,33.62080463,35.88256521,36.40088244,,
Nauru,71.56862745,72.3880597,60,54.43786982,60.57142857,,
Nepal,10.21458859,8.179578041,7.812188655,7.815641022,7.779936475,,
Netherlands,82.65889671,79.53516476,83.39176802,84.68346368,82.5377127,,
New Caledonia,18.06916629,19.26548639,21.00866525,..,..,,
New Zealand,27.95880003,26.64825949,27.58841316,27.87862757,27.3194681,,
Nicaragua,40.08363339,38.8818177,41.3388079,42.27728723,44.80450009,,
Niger,14.26836996,12.18333889,13.29437093,11.83526986,11.42173345,,
Nigeria,10.66630962,9.218109698,13.1715621,15.49688918,14.22092679,,
Northern Mariana Islands,52.96703297,71.70731707,69.29487179,50.73020753,42.33700254,,
Norway,38.57518873,35.93817143,36.73226499,38.22102729,36.64092532,,
Oman,49.65123925,41.31893239,45.71525986,50.62130514,49.49201699,,
Pakistan,10.60441138,8.736717247,8.221612469,8.581799708,9.390863379,,
Palau,..,..,..,..,..,,
Panama,47.68486166,41.97300186,41.8036992,..,..,,
Papua New Guinea,..,..,..,..,..,,
Paraguay,34.7346587,37.14323291,38.16928454,36.85322354,36.08729094,,
Peru,21.28732529,22.60031374,24.71987197,25.19218467,24.03908743,,
Philippines,27.20805724,26.67300334,29.55229085,30.21360537,28.38292001,,
Poland,47.4503064,50.26831894,52.05568506,52.74802893,53.19533562,,
Portugal,40.61511545,40.21082364,42.7242664,43.44571903,43.50842185,,
Puerto Rico,67.19493497,68.75816467,68.72372409,59.95388186,60.57888409,,
Qatar,57.06147777,47.71384149,52.88942263,55.94186317,52.18885993,,
Romania,41.34948374,42.4170514,42.33431895,41.54174729,40.20019466,,
Russian Federation,28.70338944,25.85448298,26.09088098,30.7932568,28.43343068,,
Rwanda,13.23162481,15.4217217,20.52838528,21.11106907,21.8309847,,
Samoa,27.14094673,28.77802032,29.66227547,31.9656782,35.03333014,,
San Marino,174.452681,173.0681692,168.7786813,166.5974977,163.9972392,,
Sao Tome and Principe,..,..,..,..,..,,
Saudi Arabia,32.56392543,30.15917594,33.56575135,37.19851333,34.08919081,,
Senegal,22.6771945,21.5608581,21.93008315,22.94909148,24.9831342,,
Serbia,45.1772418,48.51709354,50.47152864,50.4345613,51.01092315,,
Seychelles,92.73968523,91.76100428,102.8498757,97.81784485,93.54586279,,
Sierra Leone,19.21088067,23.7019886,26.19237248,17.4673004,18.24693558,,
Singapore,178.3846085,164.6720046,171.5646195,177.3504369,175.5944373,,
Sint Maarten (Dutch part),97.4008025,92.49778957,78.27473043,67.48350613,..,,
Slovak Republic,91.60047429,93.4660455,95.07432732,95.83585114,91.91010045,,
Slovenia,77.14867826,77.59816683,83.12550558,84.7926764,83.69943798,,
Solomon Islands,40.30464515,39.99623352,40.39103648,42.12509474,36.50103112,,
Somalia,19.45641987,19.28080954,17.72151899,19.10860656,17.44024672,,
South Africa,27.71363841,28.15608817,27.34007578,27.56264021,27.29747128,,
South Sudan,36.65134928,..,..,..,..,,
Spain,33.61086067,33.8624576,35.13056434,35.14506267,34.90690181,,
Sri Lanka,19.89338382,19.82403604,20.22420004,21.44624861,21.82353289,,
St. Kitts and Nevis,..,..,..,..,..,,
St. Lucia,..,..,..,..,..,,
St. Martin (French part),..,..,..,..,..,,
St. Vincent and the Grenadines,..,..,..,..,..,,
Sudan,6.422910929,5.004491007,6.112144258,7.650201985,8.452983418,,
Suriname,..,..,..,..,..,,
Eswatini,43.10686579,44.05903501,43.51310787,40.43183558,45.94483548,,
Sweden,43.76676752,42.69147827,43.73472193,45.68306151,47.80921095,,
Switzerland,63.82895575,66.81772593,66.34849029,67.4781861,66.96539368,,
Syrian Arab Republic,14.29110466,21.6800989,19.33967559,14.91702771,13.01006646,,
Tajikistan,9.80269843,13.20032926,14.92853961,14.37547847,14.97993927,,
Tanzania,17.10491155,16.34997506,15.66317952,14.73914339,16.03674615,,
Thailand,67.63669027,67.07088397,66.67283247,64.8380969,59.51889062,,
Timor-Leste,3.042338927,3.137004206,2.392637625,2.916724402,21.36460813,,
Togo,26.37853184,26.90671582,25.27023832,24.64439157,24.22512022,,
Tonga,16.96031829,21.67662335,22.15702742,21.41202884,21.97183292,,
Trinidad and Tobago,..,..,..,..,..,,
Tunisia,38.39983876,38.29529558,41.72078638,45.48574817,45.95033069,,
Turkiye,24.53127734,23.08350913,26.03942234,31.15287808,32.52720158,,
Turkmenistan,35.67546429,22.15051385,22.46839734,29.89998528,25.29995929,,
Turks and Caicos Islands,..,..,..,..,..,,
Tuvalu,..,..,..,..,..,,
Uganda,12.87732531,12.42716442,16.66112942,15.08705306,17.10905802,,
Ukraine,52.59767951,49.29861946,48.12491635,45.23523566,41.23169126,,
United Arab Emirates,97.56318807,97.66312109,98.34239221,91.99477687,96.66416875,,
United Kingdom,27.63032549,28.6504713,30.67244826,31.23490667,31.25760606,,
United States,12.46099316,11.93953873,12.26173812,12.36098922,11.87247011,,
Uruguay,22.47785125,26.9316811,25.93116122,26.5005732,27.810397,,
Uzbekistan,13.76629135,12.33306571,20.74806549,26.84105393,28.29800251,,
