Country Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,..,..,..,..,..
Albania,27.26739115,28.97789918,31.56979831,31.57195441,31.30426989
Algeria,23.17177801,20.87248521,22.63223229,25.86115082,22.71440421
American Samoa,63.59583952,63.93442623,59.1503268,68.23161189,61.66924266
Andorra,..,..,..,..,..
Angola,29.75459795,28.12448545,29.004102,40.83628983,40.79075505
Antigua and Barbuda,76.03620877,72.61045999,67.74232745,64.57206292,71.39790741
Argentina,10.70565205,12.52709517,11.32028336,14.43668575,17.92487838
Armenia,29.72539121,33.74427986,38.21604566,39.39289403,41.35080136
Aruba,72.8474736,71.81649504,72.55456188,72.25264888,73.23471643
Australia,20.068071,19.27225801,21.23118349,21.87340412,24.15153911
Austria,53.08906056,52.40639365,54.05115314,55.46221912,55.75720636
Azerbaijan,37.79477749,46.42764939,48.54786473,54.09229386,49.0506275
"Bahamas, The",36.35857413,33.21475985,32.38503285,35.92890561,35.53646228
Belize,51.16489482,46.91166704,49.36570429,51.07991361,51.25181047
Benin,24.72045121,27.60678807,27.20559478,27.27423062,29.63052719
Bermuda,49.97083946,49.33005658,48.53814925,51.47915638,51.7434244
Bhutan,34.4356494,29.61697448,30.08318938,30.81770601,33.93906381
Bolivia,30.86829603,24.48800554,24.90414437,25.98879506,24.96726228
Bosnia and Herzegovina,35.11487575,35.90870954,40.32441116,41.98456356,40.04007111
Botswana,53.09089734,54.61135476,42.92004249,44.22814392,37.08781767
Brazil,12.90019142,12.46667904,12.51896787,14.6349995,14.12291919
British Virgin Islands,..,..,..,..,..
Brunei Darussalam,52.21059737,49.57690627,49.5732417,51.93227638,57.94604054
Bulgaria,63.8000874,63.87048055,66.99459564,65.69585291,63.93391746
Cambodia,61.71842376,61.28152493,60.68195781,61.59572751,61.09129652
Cameroon,20.98914963,18.94997876,18.35109858,18.73625347,19.85009075
Canada,31.84996096,31.50257241,31.45441015,32.32540373,32.35269582
























































































































































































